Data Kit Name,Name,Number,Abbreviation,Short Description,Long Description,SubCategory,Table
,Toll,20,Toll,Toll,The toll status of the structure is indicated by this item.,Usage,Bridge
,Design Load,31,DesignLoad,Design Load,,Capacity,Bridge
,Method Used to Determine Inventory Rating,63,,,,Capacity,Bridge
,Method Used to Determine Operating Rating,64,,,,Capacity,Bridge
,Operating Rating,65,,,,Capacity,Bridge
,Inventory Rating,66,,,,Capacity,Bridge
,Bridge Posting,70,,,,Capacity,Bridge
border_bridge_structure_number,Length of Structure Improvement,76,,,,Construction/Material,Bridge
strahnet_designation_type,Border Bridge Structure Number,99,,,,Structure Identification,Bridge
,STRAHNET Highway Designation,100,STRAHNET,Strategic Highway Network,,Usage,Bridge
,Wearing Surface/Protective System,108,,,,Construction/Material,Bridge
,Pier or Abutment Protection,111,,,,Construction/Material,Bridge
deck_structure_type_id,Parallel Structure Designation,101,Parallel Structure,Parallel Structure Designation,"Code this item to indicate situations where separate structures carry the inventory route in opposite directions of travel over the same feature. The lateral distance between structures has no bearing on the coding of this item. One of the following codes shall be used: Right, Left, None",Location,Bridge
wearing_surface_type_id,Deck Structure Type,107,,,,Construction/Material,Bridge
membrane_type_id,Type of Wearing Surface,108A,,,,Construction/Material,Bridge
deck_protection_type_id,Type of Membrane,108B,,,,Construction/Material,Bridge
,Deck Protection,108C,,,,Construction/Material,Bridge
,Average Daily Truck Traffic,109,,,,Usage,Bridge
,NBIS Bridge Length,112,,,,Inspection Scheduling,Bridge
,Future Average Daily Traffic,114,,,,Usage,Bridge
,Year of Future Average Daily Traffic,115,,,,Usage,Bridge
,"Minimum Navigation Vertical Clearance, Vertical Lift Bridge",116,,,,Geometry/Layout,Bridge
,"Bypass, Detour Length",19,Detour,Detour Same LOS,Detour Same Level of Service. The distance represents the total additional travel for a vehicle which would result from closing of the bridge providing the same level of service (NBI item 5C) for the detour as provided on the route (NBI item 5D).,,Bridge
